CDS	altSchoolID
33669930129882	21st^Century^Learnin--Beaumont^Unifie--3366993-0129882
30664806027767	A.^E.^Arnold^Element--Cypress^Element--3066480-6027767
30665226028211	A.^G.^Cook^Elementar--Garden^Grove^Un--3066522-6028211
30736436085377	A.^G.^Currie^Middle--Tustin^Unified^--3073643-6085377
43693696046114	A.^J.^Dorsa^Elementa--Alum^Rock^Union--4369369-6046114
10622650105692	A.^L.^Conner^Element--Kings^Canyon^Jo--1062265-0105692
15635946102792	A.^M.^Thomas^Middle--Lost^Hills^Unio--1563594-6102792
34674396033765	A.^M.^Winn^Waldorf-I--Sacramento^City--3467439-6033765
41690396044796	Abbott^Middle--San^Mateo-Foste--4169039-6044796
33751926116446	Abby^Reinke^Elementa--Temecula^Valley--3375192-6116446
19642121930346	ABC^Adult--ABC^Unified^^^^--1964212-1930346
19642121995596	ABC^Secondary^(Alter--ABC^Unified^^^^--1964212-1995596
19648736021430	Abraham^Lincoln--Paramount^Unifi--1964873-6021430
15637761530377	Abraham^Lincoln^Alte--Southern^Kern^U--1563776-1530377
33672153336955	Abraham^Lincoln^Cont--Riverside^Unifi--3367215-3336955
36676866035646	Abraham^Lincoln^Elem--Colton^Joint^Un--3667686-6035646
43694196046940	Abraham^Lincoln^Elem--Cupertino^Union--4369419-6046940
33670586031926	Abraham^Lincoln^Elem--Desert^Sands^Un--3367058-6031926
19645686013742	Abraham^Lincoln^Elem--Glendale^Unifie--1964568-6013742
30665976029219	Abraham^Lincoln^Elem--Newport-Mesa^Un--3066597-6029219
34674396099808	Abraham^Lincoln^Elem--Sacramento^City--3467439-6099808
30666706030308	Abraham^Lincoln^Elem--Santa^Ana^Unifi--3066670-6030308
49709126052153	Abraham^Lincoln^Elem--Santa^Rosa^Elem--4970912-6052153
43696664333795	Abraham^Lincoln^High--San^Jose^Unifie--4369666-4333795
10624306111124	Abraham^Lincoln^Midd--Selma^Unified^^--1062430-6111124
19647331935121	Abraham^Lincoln^Seni--Los^Angeles^Uni--1964733-1935121
37682963735842	Abraxas^Continuation--Poway^Unified^^--3768296-3735842
30665066028005	Acacia^Elementary--Fullerton^Eleme--3066506-6028005
56737596055842	Acacia^Magnet^School--Conejo^Valley^U--5673759-6055842
33670826084628	Acacia^Middle--Hemet^Unified^^--3367082-6084628
19769680109926	Academia^Avance^Char--SBE^-^Academia^--1976968-0109926
19647330120097	Academia^Moderna--Los^Angeles^Uni--1964733-0120097
19647330126615	Academies^of^Educati--Los^Angeles^Uni--1964733-0126615
19642460126003	Academies^of^the^Ant--Antelope^Valley--1964246-0126003
38684780119958	Academy^(The)-^SF^@M--San^Francisco^U--3868478-0119958
