CompSchool_CDS	altSchoolID	County	District	School
19647336058317	Robert^Louis^Stevens--Los^Angeles^Uni--1964733-6058317	Los Angeles	Los Angeles Unified	Robert Louis Stevenson College and Career Preparatory
19647336058036	Griffith^Middle--Los^Angeles^Uni--1964733-6058036	Los Angeles	Los Angeles Unified	Griffith Middle
19647336057889	Belvedere^Middle--Los^Angeles^Uni--1964733-6057889	Los Angeles	Los Angeles Unified	Belvedere Middle
19647330124495	Communication^and^Te--Los^Angeles^Uni--1964733-0124495	Los Angeles	Los Angeles Unified	Communication and Technology at Diego Rivera Learning Complex
19647330124503	Diego^Rivera^Learnin--Los^Angeles^Uni--1964733-0124503	Los Angeles	Los Angeles Unified	Diego Rivera Learning Complex Green Design STEAM Academy
19647330124511	Performing^Arts^Comm--Los^Angeles^Uni--1964733-0124511	Los Angeles	Los Angeles Unified	Performing Arts Community at Diego Rivera Learning Complex
19647330124487	Public^Service^Commu--Los^Angeles^Uni--1964733-0124487	Los Angeles	Los Angeles Unified	Public Service Community at Diego Rivera Learning Complex
19647331934454	David^Starr^Jordan^S--Los^Angeles^Uni--1964733-1934454	Los Angeles	Los Angeles Unified	David Starr Jordan Senior High
19647331933118	John^C.^Fremont^Seni--Los^Angeles^Uni--1964733-1933118	Los Angeles	Los Angeles Unified	John C. Fremont Senior High
19647331934371	Thomas^Jefferson^Sen--Los^Angeles^Uni--1964733-1934371	Los Angeles	Los Angeles Unified	Thomas Jefferson Senior High
19647330109447	Santee^Education^Com--Los^Angeles^Uni--1964733-0109447	Los Angeles	Los Angeles Unified	Santee Education Complex
19646341934231	Inglewood^High--Inglewood^Unifi--1964634-1934231	Los Angeles	Inglewood Unified	Inglewood High
19646341936046	Morningside^High--Inglewood^Unifi--1964634-1936046	Los Angeles	Inglewood Unified	Morningside High
19647331939305	George^Washington^Pr--Los^Angeles^Uni--1964733-1939305	Los Angeles	Los Angeles Unified	George Washington Preparatory High
19647336058028	Samuel^Gompers^Middl--Los^Angeles^Uni--1964733-6058028	Los Angeles	Los Angeles Unified	Samuel Gompers Middle
19734376066732	Davis^Middle--Compton^Unified--1973437-6066732	Los Angeles	Compton Unified	Davis Middle
19734376057566	Enterprise^Middle--Compton^Unified--1973437-6057566	Los Angeles	Compton Unified	Enterprise Middle
19734376057590	Willowbrook^Middle--Compton^Unified--1973437-6057590	Los Angeles	Compton Unified	Willowbrook Middle
