GD_CDS_Code	CompSchool_CDS
19647330123992	19647336058317
19647330123992	19647336058036
19647330123992	19647336057889
19647330106849	19647330124495
19647330106849	19647330124503
19647330106849	19647330124511
19647330106849	19647330124487
19647330106849	19647331934454
19647330106849	19647331933118
19647330111575	19647331934371
19647330111575	19647330124495
19647330111575	19647330124503
19647330111575	19647330124511
19647330111575	19647330124487
19647330111575	19647330109447
19101990136119	19646341934231
19101990136119	19646341936046
19101990136119	19647331939305
19734370137984	19647336058028
19734370137984	19734376066732
19734370137984	19734376057566
19734370137984	19734376057590
19647330124883	19647331934454
19647330124883	19647330124495
19647330124883	19647330124503
19647330124883	19647330124511
19647330124883	19647330124487
19647330124883	19647330126573
19647330101675	19647331937424
19647330101675	19647330122374
19647330101675	19647330122382
19647330101675	19647330122341
19647330101675	19647330122358
19647330101675	19647330122366
19647330101675	19647331933381
19647330134023	19647336057962
19647330134023	19647336058143
19647330134023	19647336061444
19646341996586	19646341934231
19646341996586	19646341936046
19646341996586	19643521935048
19647330124008	19647336058028
19647330124008	19647336061527
19647330124008	19647336057962
19647330122481	19647336057921
19647330122481	19647330124453
19647330122481	19647336057855
19647330118588	19647331934454
19647330118588	19647330124495
19647330118588	19647330124503
19647330118588	19647330124511
19647330118588	19647330124487
19647330118588	19647331939305
19647330118588	19647330126573
19647091996313	19643521933951
19647091996313	19643521935048
19647091996313	19646341936046
19647330124016	19647336058028
19647330124016	19647336058044
19647330124016	19647336061527
19647330129270	19647336058028
19647330129270	19647336061527
19647330129270	19734376057566
19647330111583	19647331934371
19647330111583	19647331935519
19647330111583	19647330109447
19647330102434	19647331939305
19647330102434	19647331933241
19647330102434	19647330126573
19647330106831	19647331939040
19647330106831	19646341934231
19647330111625	19734371931963
19647330111625	19647331934454
19647330111625	19647331939305
19647330111625	19734371931567
19647330122499	19647336058127
19647330122499	19646346057749
19647330122499	19647336061394
